Facility,Capacity,Distance,Date
Omsk refinery,22.0,2500,2026-07-06
Kirishi Refinery (Kinef),18.0,810,
Kirishi Refinery (Kinef),18.0,810,2025-09-14
Kirishi Refinery (Kinef),18.0,810,2025-10-13
Kirishi Refinery (Kinef),18.0,810,2026-03-26
Kirishi Refinery (Kinef),18.0,810,2026-05-05
Kirishi Refinery (Kinef),18.0,810,2026-07-09
Ryazan refinery,13.1,480,2025-01-24
Ryazan refinery,13.1,480,2025-02-20
Ryazan refinery,13.1,480,2026-08-02
Ryazan refinery,13.1,480,2025-09-05
Ryazan refinery,13.1,480,2025-10-23
Ryazan refinery,13.1,480,2025-11-15
Ryazan refinery,13.1,480,2026-02-24
Ryazan refinery,13.1,480,2026-05-15
Kstovo refinery,15.0,800,2026-04-05
Kstovo refinery,15.0,800,2026-05-20
Kstovo refinery,15.0,800,2026-06-24
Kstovo refinery,15.0,800,2026-07-02
Yaroslavl refinery (YANOS),14.9,700,2025-10-01
Yaroslavl refinery (YANOS),14.9,700,2025-12-12
Yaroslavl refinery (YANOS),14.9,700,2026-06-24
Yaroslavl refinery (YANOS),14.9,700,2026-07-06
Volgograd refinery,13.7,500,2026-02-11
Volgograd refinery,13.7,500,2026-06-01
Perm refinery,12.6,1485,2026-04-29
Perm refinery,12.6,1485,2026-05-07
Moscow Refinery,12.15,475,2026-05-17
Moscow Refinery,12.15,475,2026-06-12
Moscow Refinery,12.15,475,2026-06-18
Tuapse Refinery Tuapse oil terminal,12.0,500,2026-04-16
Tuapse Refinery Tuapse oil terminal,12.0,500,2026-04-20
Tuapse Refinery Tuapse oil terminal,12.0,500,2026-04-28
Tuapse Refinery Tuapse oil terminal,12.0,500,2026-05-01
Syzran refinery,4.3,800,2026-04-18
Syzran refinery,4.3,800,2026-05-21
TANECO,17.0,1150,2026-06-12
TANECO,17.0,1150,2026-07-08
TANECO,17.0,1150,2026-07-07
TANECO,17.0,1150,2026-07-08
TAIF-NIK,8.5,1150,2026-07-07
TAIF-NIK,8.5,1150,2026-07-08
Antipinsky refinery,6.0,2000,2026-06-20
Novokuibyshevsk Refinery,5.74,900,2025-09-20
Novokuibyshevsk Refinery,5.74,900,2025-10-19
Novokuibyshevsk Refinery,5.74,900,2026-06-02
Ufimsky refinery,3.8,1400,2025-03-03
Ufimsky refinery,3.8,1400,2025-10-11
Ufimsky refinery,3.8,1400,2025-06-25
Ufimsky refinery,3.8,1400,2026-07-01
Saratov refinery,5.8,700,2025-11-21
Saratov refinery,5.8,700,2026-05-30
Saratov refinery,5.8,700,2026-07-08
Gazprom Neftekhim Salavat,6.5,1300,2024-05-09
Gazprom Neftekhim Salavat,6.5,1300,2025-09-18
Gazprom Neftekhim Salavat,6.5,1300,2025-09-24
Ilsky refinery,6.6,500,
Afipsky refinery,6.25,200,2025-02-10
Afipsky refinery,6.25,200,2025-08-07
Afipsky refinery,6.25,200,2025-11-29
Afipsky refinery,6.25,200,2026-03-14
Afipsky refinery,6.25,200,2026-06-11
Kuibyshev refinery,4.7,850,2026-06-09
Kuibyshev refinery,4.7,850,2026-06-10
Slavyansk Refinery,5.2,350,2025-12-17
Slavyansk Refinery,5.2,350,2026-06-24
Slavyansk Refinery,5.2,350,2026-06-28
Novo-Ufimsky refinery,3.8,1400,2026-04-01
Novo-Ufimsky refinery,3.8,1400,2026-04-02
Krasnodar refinery,3.0,375,2025-08-30
Ukhta refinery,3.0,1720,2026-02-12
